0 O
4 O
6 O
8 O
9 O
B O
B-BAT B-DAT
B-BGPE B-GPE
B=CRD B-CRD
B-CRD B-CRD
B-CRR B-CRD
B-CTY B-CRD
B-DAT B-DAT
D-DAT B-DAT
B-ER B-PER
B-EVE B-EVT
B-EVT B-EVT
B-EVT` B-EVT
B-FA B-FAC
B-FAC B-FAC
BGPE B-GPE
B=GPE B-GPE
B-GPE B-GPE
B-L0C B-LOC
B-LAN B-LAN
B-LAW B-LAW
B-LOC B-LOC
B-M0N B-MON
B-MON B-MON
B-N0R B-NOR
B-NOE B-NOR
B-NOR B-NOR
B-NPR B-NOR
B-O O
B-ODR B-ORD
B-OR B-ORG
B-ORD B-ORD
b-org B-ORG
B-ORG B-ORG
B-PE B-PER
BPER B-PER
B=PER B-PER
B-PER B-PER
B-PER. B-PER
B-PGE B-GPE
B-PR B-PRC
B-PRC B-PRC
BPRD B-PRD
B=PRD B-PRD
B-PRD B-PRD
B-PRG B-PRD
B-PROD B-PRD
B-QT B-QTY
B-QTY B-QTY
B-QYT B-QTY
B-REG B-REG
B-TIM B-TIM
BWOA B-WOA
B-WOA B-WOA
B-WTY B-QTY
CRD B-CRD
d O
DAT B-DAT
GPE B-GPE
I O
I-0RG I-ORG
I-AC I-FAC
I-BTN I-ORG
I-CRD I-CRD
I-DAI I-DAT
I-DAR I-DAT
I-DaT I-DAT
IDAT I-DAT
I-DAT I-DAT
I-EVE I-EVT
I=EVT I-EVT
I-EVT I-EVT
I-FA I-FAC
i-FAC I-FAC
I-FAC I-FAC
I-GPE I-GPE
I-LAN I-LAN
I-LAW I-LAW
I-LOC I-LOC
[-LOC I-LOC
I-M0N I-MON
IMON I-MON
I-MON I-MON
I-NOE I-NOR
I-NOR I-NOR
IO O
I-OC I-LOC
I-[OC I-LOC
I-OR I-NOR
I-ORD I-ORD
I=ORG I-ORG
I-ORG I-ORG
I-ORH I-ORG
I-PD I-PRD
I-ER I-PER
I-PER I-PER
I-PE I-PER
I-PR I-PRD
I-PRC I-PRC
I-PRD I-PRD
I-QTY I-QTY
I-QYT I-QTY
I-RD I-PRD
I-REG I-REG
I-RG I-ORG
I-TIM I-TIM
I-TO; I-FAC
I-TOL I-FAC
I-TY I-QTY
I-WOA I-WOA
N-GPE B-GPE
N-NOR B-NOR
NOR I-NOR
o O
O O
`O O
O` O
O- O
O, O
OB-PRD B-PRD
O-PRD I-PRD
ORD B-ORD
O-RG I-ORG
P O
PO O
QTY I-QTY
